date,countryIsoCode,goal6Completions
2021-01-01,AT,0
2021-01-01,CH,2
2021-01-01,DE,21
2021-01-01,FR,7
2021-01-01,IT,4
2021-01-01,SE,2
2021-01-02,AT,2
2021-01-02,CH,0
2021-01-02,DE,20
2021-01-02,FR,10
2021-01-02,IT,12
2021-01-02,SE,2
2021-01-03,AT,1
2021-01-03,CH,1
2021-01-03,DE,18
2021-01-03,FR,10
2021-01-03,IT,21
2021-01-03,SE,3
2021-01-04,AT,6
2021-01-04,CH,3
2021-01-04,DE,35
2021-01-04,FR,17
2021-01-04,IT,23
2021-01-04,SE,10
2021-01-05,AT,4
2021-01-05,CH,4
2021-01-05,DE,32
2021-01-05,FR,17
2021-01-05,IT,28
2021-01-05,SE,5
2021-01-06,AT,4
2021-01-06,CH,5
2021-01-06,DE,39
2021-01-06,FR,22
2021-01-06,IT,15
2021-01-06,SE,9
2021-01-07,AT,3
2021-01-07,CH,3
2021-01-07,DE,32
2021-01-07,FR,18
2021-01-07,IT,27
2021-01-07,SE,11
2021-01-08,AT,2
2021-01-08,CH,4
2021-01-08,DE,30
2021-01-08,FR,26
2021-01-08,IT,28
2021-01-08,SE,6
2021-01-09,AT,4
2021-01-09,CH,2
2021-01-09,DE,19
2021-01-09,FR,12
2021-01-09,IT,18
2021-01-09,SE,3
2021-01-10,AT,5
2021-01-10,CH,1
2021-01-10,DE,21
2021-01-10,FR,10
2021-01-10,IT,17
2021-01-10,SE,4
2021-01-11,AT,1
2021-01-11,CH,4
2021-01-11,DE,29
2021-01-11,FR,31
2021-01-11,IT,25
2021-01-11,SE,7
2021-01-12,AT,4
2021-01-12,CH,5
2021-01-12,DE,26
2021-01-12,FR,34
2021-01-12,IT,34
2021-01-12,SE,10
2021-01-13,AT,1
2021-01-13,CH,1
2021-01-13,DE,29
2021-01-13,FR,25
2021-01-13,IT,25
2021-01-13,SE,17
2021-01-14,AT,4
2021-01-14,CH,2
2021-01-14,DE,32
2021-01-14,FR,27
2021-01-14,IT,21
2021-01-14,SE,17
2021-01-15,AT,2
2021-01-15,CH,3
2021-01-15,DE,16
2021-01-15,FR,27
2021-01-15,IT,23
2021-01-15,SE,7
2021-01-16,AT,0
2021-01-16,CH,0
2021-01-16,DE,16
2021-01-16,FR,4
2021-01-16,IT,16
2021-01-16,SE,3
2021-01-17,AT,1
2021-01-17,CH,2
2021-01-17,DE,16
2021-01-17,FR,15
2021-01-17,IT,13
2021-01-17,SE,4
2021-01-18,AT,5
2021-01-18,CH,2
2021-01-18,DE,33
2021-01-18,FR,35
2021-01-18,IT,25
2021-01-18,SE,12
2021-01-19,AT,5
2021-01-19,CH,3
2021-01-19,DE,28
2021-01-19,FR,29
2021-01-19,IT,32
2021-01-19,SE,12
2021-01-20,AT,1
2021-01-20,CH,3
2021-01-20,DE,29
2021-01-20,FR,30
2021-01-20,IT,31
2021-01-20,SE,10
2021-01-21,AT,3
2021-01-21,CH,2
2021-01-21,DE,23
2021-01-21,FR,21
2021-01-21,IT,32
2021-01-21,SE,9
2021-01-22,AT,2
2021-01-22,CH,4
2021-01-22,DE,34
2021-01-22,FR,20
2021-01-22,IT,36
2021-01-22,SE,10
2021-01-23,AT,1
2021-01-23,CH,2
2021-01-23,DE,19
2021-01-23,FR,20
2021-01-23,IT,19
2021-01-23,SE,3
2021-01-24,AT,0
2021-01-24,CH,3
2021-01-24,DE,15
2021-01-24,FR,16
2021-01-24,IT,17
2021-01-24,SE,6
2021-01-25,AT,2
2021-01-25,CH,2
2021-01-25,DE,31
2021-01-25,FR,21
2021-01-25,IT,26
2021-01-25,SE,8
2021-01-26,AT,1
2021-01-26,CH,3
2021-01-26,DE,34
